Date,Name,Year,Letterboxd URI
2021-11-02,Dune,2021,https://boxd.it/fA7G
2021-11-02,Squid Game,2021,https://boxd.it/x1OG
2021-11-02,Parasite,2019,https://boxd.it/hTha
2021-11-02,Fight Club,1999,https://boxd.it/2a9q
2021-11-02,Joker,2019,https://boxd.it/h4cS
2021-11-02,Free Guy,2021,https://boxd.it/k8dm
2021-11-02,Black Widow,2021,https://boxd.it/hWV8
2021-11-02,The Suicide Squad,2021,https://boxd.it/fw6O
2021-11-02,Luca,2021,https://boxd.it/ipjC
2021-11-02,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-11-02,A Quiet Place Part II,2020,https://boxd.it/iTx0
2021-11-02,The Green Knight,2021,https://boxd.it/kuy2
2021-11-02,Wonder Woman 1984,2020,https://boxd.it/gBtA
2021-11-02,Onward,2020,https://boxd.it/io92
2021-11-02,Loki,2021,https://boxd.it/sbHg
2021-11-02,Nobody,2021,https://boxd.it/mLqS
2021-11-02,Candyman,2021,https://boxd.it/kHFg
2021-11-02,Extraction,2020,https://boxd.it/jUjA
2021-11-02,The Tomorrow War,2021,https://boxd.it/lE78
2021-11-02,Wrath of Man,2021,https://boxd.it/nEia
2021-11-02,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/nyLU
2021-11-02,Spenser Confidential,2020,https://boxd.it/log4
2021-11-02,The SpongeBob Movie: Sponge on the Run,2020,https://boxd.it/e1Ac
2021-11-02,The Forever Purge,2021,https://boxd.it/mdzc
2021-11-02,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2021-11-02,Hitman's Wife's Bodyguard,2021,https://boxd.it/iZdq
2021-11-02,Knives Out,2019,https://boxd.it/jWEA
2021-11-02,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2021-11-02,Avengers: Endgame,2019,https://boxd.it/9vE4
2021-11-02,Jojo Rabbit,2019,https://boxd.it/iEBG
2021-11-02,Uncut Gems,2019,https://boxd.it/gXGc
2021-11-02,The Lighthouse,2019,https://boxd.it/icFU
2021-11-02,1917,2019,https://boxd.it/jj4y
2021-11-02,Us,2019,https://boxd.it/gnV6
2021-11-02,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2021-11-02,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2021-11-02,It Chapter Two,2019,https://boxd.it/h10u
2021-11-02,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw
2021-11-02,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0
2021-11-02,The Platform,2019,https://boxd.it/mUm6
2021-11-02,Chernobyl,2019,https://boxd.it/mkbG
2021-11-02,Zombieland: Double Tap,2019,https://boxd.it/bgb6
2021-11-02,Alita: Battle Angel,2019,https://boxd.it/e0rS
2021-11-02,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w
2021-11-02,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA
2021-11-02,Good Boys,2019,https://boxd.it/iW1G
2021-11-02,Happy Death Day 2U,2019,https://boxd.it/ixt6
2021-11-02,Annabelle Comes Home,2019,https://boxd.it/iU5m
2021-11-02,Hellboy,2019,https://boxd.it/gjaA
2021-11-02,Shaft,2019,https://boxd.it/htPq
2021-11-02,Demon Slayer: Kimetsu no Yaiba,2019,https://boxd.it/pKsE
2021-11-02,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-11-02,Avengers: Infinity War,2018,https://boxd.it/9vEe
2021-11-02,Black Panther,2018,https://boxd.it/8MHs
2021-11-02,A Quiet Place,2018,https://boxd.it/fVJQ
2021-11-02,BlacKkKlansman,2018,https://boxd.it/hxL8
2021-11-02,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2021-11-02,Incredibles 2,2018,https://boxd.it/7IPg
2021-11-02,Deadpool 2,2018,https://boxd.it/dlLM
2021-11-02,Ant-Man and the Wasp,2018,https://boxd.it/cqUW
2021-11-02,Ready Player One,2018,https://boxd.it/aZes
2021-11-02,Venom,2018,https://boxd.it/b8wA
2021-11-02,Solo: A Star Wars Story,2018,https://boxd.it/bGWs
2021-11-02,Aquaman,2018,https://boxd.it/9ru0
2021-11-02,Ocean's Eight,2018,https://boxd.it/eaai
2021-11-02,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc
2021-11-02,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU
2021-11-02,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G
2021-11-02,Ralph Breaks the Internet,2018,https://boxd.it/edAy
2021-11-02,Creed II,2018,https://boxd.it/hgl8
2021-11-02,Tag,2018,https://boxd.it/gh7Y
2021-11-02,Blockers,2018,https://boxd.it/fxEW
2021-11-02,Pacific Rim: Uprising,2018,https://boxd.it/83Qa
2021-11-02,The First Purge,2018,https://boxd.it/fJfk
2021-11-02,Skyscraper,2018,https://boxd.it/fVqa
2021-11-02,The Equalizer 2,2018,https://boxd.it/bAEW
2021-11-02,Hotel Artemis,2018,https://boxd.it/ejwW
2021-11-02,Johnny English Strikes Again,2018,https://boxd.it/gzGW
2021-11-02,Death Wish,2018,https://boxd.it/dRqm
2021-11-02,Night School,2018,https://boxd.it/gcyU
2021-11-02,Devilman Crybaby,2018,https://boxd.it/muwa
2021-11-02,Get Out,2017,https://boxd.it/eOCm
2021-11-02,Baby Driver,2017,https://boxd.it/bhF2
2021-11-02,Thor: Ragnarok,2017,https://boxd.it/8MHi
2021-11-02,Dunkirk,2017,https://boxd.it/d0Y6
2021-11-02,Coco,2017,https://boxd.it/bYJQ
2021-11-02,Blade Runner 2049,2017,https://boxd.it/b8wK
2021-11-02,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2021-11-02,It,2017,https://boxd.it/bC8e
2021-11-02,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2021-11-02,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2021-11-02,Logan,2017,https://boxd.it/7Piy
2021-11-02,Wonder Woman,2017,https://boxd.it/9roG
2021-11-02,John Wick: Chapter 2,2017,https://boxd.it/ayGu
2021-11-02,The Disaster Artist,2017,https://boxd.it/cTqc
2021-11-02,You Were Never Really Here,2017,https://boxd.it/dWOS
2021-11-02,Justice League,2017,https://boxd.it/4w68
2021-11-02,Kingsman: The Golden Circle,2017,https://boxd.it/buJm
2021-11-02,War for the Planet of the Apes,2017,https://boxd.it/8FE2
2021-11-02,Happy Death Day,2017,https://boxd.it/fDz4
2021-11-02,Alien: Covenant,2017,https://boxd.it/49UY
2021-11-02,Ghost in the Shell,2017,https://boxd.it/abTA
2021-11-02,Valerian and the City of a Thousand Planets,2017,https://boxd.it/biYY
2021-11-02,The Hitman's Bodyguard,2017,https://boxd.it/dCmO
2021-11-02,Annabelle: Creation,2017,https://boxd.it/dSxe
2021-11-02,The Boss Baby,2017,https://boxd.it/9mfO
2021-11-02,Despicable Me 3,2017,https://boxd.it/azpu
2021-11-02,American Made,2017,https://boxd.it/bb66
2021-11-02,The Dark Tower,2017,https://boxd.it/bU66
2021-11-02,Daddy's Home 2,2017,https://boxd.it/ePpI
2021-11-02,xXx: Return of Xander Cage,2017,https://boxd.it/JqC
2021-11-02,Jungle,2017,https://boxd.it/dCpo
2021-11-02,Fist Fight,2017,https://boxd.it/bAIO
2021-11-02,Arrival,2016,https://boxd.it/aNGk
